SchemaName,TableName,TableDescription,RowCount,ColumnName,OrdinalPosition,DataType,Maxlength,NumericPrecision,NumericScale,IsNullable,ColoumnDescription,SampleValues
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,ProductID,1,int,4,10,0,0,Primary key; unique identifier for each product record.,"[1,2,3,4,316]"
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,Name,2,nvarchar,50,0,0,0,Human-readable product name shown to users and reports.,"[""Adjustable Race"",""All-Purpose Bike Stand"",""AWC Logo Cap"",""BB Ball Bearing"",""Bearing Ball""]"
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,ProductNumber,3,nvarchar,25,0,0,0,Manufacturer’s internal product code (SKU/part number).,"[""AR-5381"",""BA-8327"",""BB-7421"",""BB-8107"",""BB-9108""]"
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,MakeFlag,4,bit,1,1,0,0,Flag indicating if the product is manufactured in-house (1) or purchased from vendors (0).,"[0,1]"
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,FinishedGoodsFlag,5,bit,1,1,0,0,Flag indicating if the product is a finished sellable good (1) rather than a component (0).,"[0,1]"
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,Color,6,nvarchar,15,0,0,1,Product color (if applicable).,"[""Black"",""Blue"",""Grey"",""Multi"",""Red""]"
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,SafetyStockLevel,7,smallint,2,5,0,0,Minimum inventory level to prevent stockouts (safety stock threshold).,"[4,60,100,500,800]"
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,ReorderPoint,8,smallint,2,5,0,0,Inventory quantity at which a replenishment order should be triggered.,"[3,45,75,375,600]"
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,StandardCost,9,money,8,19,4,0,Standard cost used for planning and valuation (per unit).,"[0.00,0.86,1.49,1.87,2.97]"
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,ListPrice,10,money,8,19,4,0,List (selling) price of the product (per unit).,"[0.00,2.29,3.99,4.99,7.95]"
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,Size,11,nvarchar,5,0,0,1,"Product size value (e.g., apparel size, frame size, wheel size).","[""38"",""40"",""42"",""44"",""46""]"
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,SizeUnitMeasureCode,12,nchar,3,0,0,1,"Unit of measure for Size (e.g., CM for centimeters).","[""CM""]"
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,WeightUnitMeasureCode,13,nchar,3,0,0,1,"Unit of measure for Weight (e.g., G for grams, LB for pounds).","[""G"",""LB""]"
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,Weight,14,decimal,5,8,2,1,Product weight in the specified weight unit.,"[2.12,2.16,2.18,2.20,2.22]"
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,DaysToManufacture,15,int,4,10,0,0,Planned number of calendar days required to manufacture the product.,"[0,1,2,4]"
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,ProductLine,16,nchar,2,0,0,1,"Product line code: R=Road, M=Mountain, T=Touring, S=Standard/Other.","[""M"",""R"",""S"",""T""]"
